gate	reachable	class	depth	origin_workflow	via	direct_github_mention
self_falsifying_compilation_line_r23_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r24_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r25_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r26_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r27_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r28_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r29_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r2_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r3_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r4_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r5_gate.sh	no	unclassified	0			no
self_falsifying_compilation_line_r6_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r7_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r8_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compilation_line_r9_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
self_falsifying_compiler_gate.sh	no	unclassified	0			no
selfhost_driver_output_gate.sh	no	unclassified	0			no
selfhost_host_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,.github/workflows/release-gate.yml	yes
semantic_coordination_gate.sh	no	unclassified	0			no
semantic_knowledge_spine_gate.sh	no	manual-by-design	0		makefile	no
semantic_orc_depression_orc_gate.sh	no	unclassified	0			no
semantic_orc_sinkhorn_lse_gate.sh	no	unclassified	0			no
semantic_orc_swow16_fixture_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_degree_shuffle_fixture_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_kaxi_pack_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_multifixture_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_tile_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_tile_matrix_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_tile_matrix_parameter_sweep_gate.sh	no	unclassified	0			no
semantic_orc_swow16_graph_edge_tile_matrix_reducer_gate.sh	no	unclassified	0			no
semantic_orc_swow16_kaxi_pack_gate.sh	no	unclassified	0			no
semantic_orc_swow16_kaxi_runtime_gate.sh	no	unclassified	0			no
semantic_orc_swow16_kaxi_slurm_gate.sh	no	unclassified	0			no
semantic_orc_swow16_multisupport_gate.sh	no	unclassified	0			no
semantic_orc_swow16_permutation_fixture_gate.sh	no	unclassified	0			no
serious_language_claim_closure_gate.sh	no	unclassified	0			no
serious_language_conformance_gate.sh	no	unclassified	0			no
serious_language_spec_drift_gate.sh	no	unclassified	0			no
sigpipe_hygiene_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
soir_v5_empty_reader_gate.sh	no	unclassified	0			no
soir_v6_bss_layout_gate.sh	no	unclassified	0			no
souc_launcher_portability_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
souc_v2_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml,.github/workflows/release-gate.yml	yes
sounio_direct_driver_support_gate.sh	no	unclassified	0			no
sounio_editor_tooling_support_gate.sh	no	unclassified	0			no
sounio_install_support_gate.sh	no	unclassified	0			no
sounio_package_support_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
sounio_release_production_readiness_gate.sh	no	unclassified	0			no
sounio_science_flex_gate.sh	no	unclassified	0			no
sounio_stdlib_surface_support_gate.sh	no	unclassified	0			no
sounio_website_docs_support_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
stdlib_evolution_gate.sh	no	unclassified	0			no
stdlib_science_pipeline_gate.sh	no	unclassified	0			no
stdlib_source_byte_ceiling_gate.sh	no	forgotten	0			no
suffering_aware_architecture_gate.sh	no	manual-by-design	0			no
suffering_aware_deep_architecture_gate.sh	no	manual-by-design	0			no
suffering_aware_game_theory_gate.sh	no	manual-by-design	0			no
suffering_aware_large_architecture_gate.sh	no	manual-by-design	0			no
suffering_aware_multi_agent_gate.sh	no	manual-by-design	0			no
suffering_aware_multi_agent_scale_gate.sh	no	manual-by-design	0			no
suffering_aware_multi_agent_sophisticated_gate.sh	no	manual-by-design	0			no
trigintaduonion_zd_gate.sh	no	unclassified	0			no
ui_type_backlog_quality_gate.sh	no	unclassified	0			no
unit_types_clinical_current_source_gate.sh	no	manual-by-design	0		makefile	no
unit_types_derived_gate.sh	no	manual-by-design	0		makefile	no
unit_types_phase1_gate.sh	no	manual-by-design	0		makefile	no
windows_pe_smoke_gate.sh	no	unclassified	0			no
witness_based_compilation_paper_gate.sh	no	unclassified	0			no
zd_deep_dive_gate.sh	no	unclassified	0			no
zd_fiber_spectra_witness_gate.sh	no	unclassified	0			no
zd_fiber_spectra_witness_perturbed_gate.sh	no	unclassified	0			no
zd_orbit_equivalence_gate.sh	no	unclassified	0			no
zd_qec_prediction_gate.sh	no	unclassified	0			no
zero_event_gate.sh	no	unclassified	0			no
zero_event_native_compile_privacy_gate.sh	no	unclassified	0			no
zero_provenance_claims_gate.sh	no	unclassified	0			no
zero_provenance_witness_gate.sh	no	unclassified	0			no
