# gate_reachability.manifest.tsv
# Columns: gate<TAB>state<TAB>owner<TAB>reason
# state ∈ admitido | nao-admitido | obsoleto
# admitido: must be named under .github/; owner/reason may be empty
# nao-admitido / obsoleto: owner AND reason must be non-empty
# A scripts/ci/*.sh with no row is RED. Malformed is redder than absent.
# Bootstrap 2026-08-19 on 548 top-level scripts/ci/*.sh.
# named → admitido; unnamed → nao-admitido owner=por atribuir
gate	state	owner	reason
mercyful_pontryagin_control_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_preprint_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_runtime_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mercyful_sounio_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mir_instr_capacity_coherence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
mli_s3_bit_identity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_claim_discipline_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_cohort_manifest_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_epistemic_cohort_slurm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_epistemic_orc_slice_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_f32_cohort_analysis_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_abide_transport_conditioned_orc_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_phase_status_adopt_runtime_artifacts.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_phase_status_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_sinkhorn16_slurm_gate_common.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_slurm_blocker_handoff_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_transport_168_curvature_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_transport_168_linearity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_transport_168_manifest_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
moonshot_a_transport_168_modulation_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_capacity_tiers_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_albert_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_algebra_law_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_array_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_associator_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_capturing_closure_unsupported_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_clifford_grade_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_cpu_compiler_umbrella_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_dissertation_rapamycin_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_driver_self_compile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_e2e_codegen_suite_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_e2e_exit_code_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_enum_match_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_epistemic_accel_spine_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_epistemic_gpu_runtime_parity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_epistemic_science_spine_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_f64_ladder_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_fractal_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_frontend_convergence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_gum_primitives_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_hof_closure_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_imported_body_lowering_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_imported_captured_closure_boundary_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_imported_closure_boundary_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_imported_core_abi_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_imported_hof_abi_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_logical_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_metal_algebra_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_muraki_pentagon_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_nested_field_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_nvidia_bare_metal_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_out_param_boundary_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_prebundle_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_q_deform_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_q_deform_octonion_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_sed_zd_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_semantic_hardening_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_serious_track_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_struct_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_struct_mutation_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_struct_param_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_struct_return_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
native_v2_wasserstein_orc_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
no_false_float_axioms.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
nullity_histogram_law_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
nunwa_lean_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
octonion_probes_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_bundle_directive_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_bundle_directive_native_scan_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_cache_compile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_cache_frontend_composition_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_cli_smoke_gate.sh	admitido		
ontology_hash_benchmark.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_model_compile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_query_compile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_reasoner_compile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_typed_bridge_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ontology_unit_metadata_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
oopsla2027_paper_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ordered_path_provenance_source_ir_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
package_boundary_release_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
package_import_science_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
package_pbpk_gum_gate.sh	admitido		
paper168_cocycle_subspace_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
paper_168_theorem_claims_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
parser_contextual_ident_routing_gate.sh	admitido		
parser_keyword_classification_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
parser_module_path_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_broken_structure_dual_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp10_approx_algebra_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp11_scheme_approx_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp123_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp123_oracle_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp12_residual_closure_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp13_amplitude_honesty_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp17_zwh_ledger_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp6_universal_xi_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp7_gum_transfer_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp8_collapse_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_exp9_engine_joint_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
particle_unstable_effect_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
pediatric_pbpk_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_canonical_cutover_approval_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_canonical_cutover_execution_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_canonical_production_gap_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_canonical_production_mapping_decision_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_inventory_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_materialization_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_source_removal_authorization_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
physical_extraction_source_removal_execution_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
pin_registry_honesty_gate.sh	admitido		
plan_big_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
plan_big_strict_canary.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
poseidon_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
precise_stack_maps_honesty_gate.sh	admitido		
project_spine_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_deployment_validity_revocable_authority_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_endogenous_observability_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_model_contest_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_path_conditioned_identification_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_policy_observation_associator_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_policy_state_feedback_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_rebracketing_protocol_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_reflexive_inquiry_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_shift_robust_risk_transport_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
proof_carrying_statistical_coverage_empirical_binding_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
r2_continuous_law_theorem_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
real_language_runner_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
refinement_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
registry_attestation_spec_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
release_check.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
reproduce_artifact.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
rna_cd_confirmatory_contract.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
routon_zd_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
run_ontology_validation.sh	admitido		
run_pass_output_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
run_release_critical_pack.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
rupture_abcd_contracts_gate.sh	admitido		
sac_llm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
san_imagenet_fpga_dl380_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
san_real_patient_data_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
science_boundary_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sedenion_associator_1848_gate.sh	admitido		
sedenion_cd_qbig_gate.sh	admitido		
sedenion_clifford8_gate.sh	admitido		
sedenion_dynamics_gate.sh	admitido		
sedenion_e8_boundary_gate.sh	admitido		
sedenion_gresnigt_octonions_gate.sh	admitido		
sedenion_ladder_extension_gate.sh	admitido		
sedenion_octonion_census_gate.sh	admitido		
sedenion_phi_injectivity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sedenion_quartet_fiber_incidence_gate.sh	admitido		
sedenion_seam_bridge_gate.sh	admitido		
sedenion_spectra_gate.sh	admitido		
sedenion_zd168_crosscheck_gate.sh	admitido		
sedenion_zd_fiber_identity_gate.sh	admitido		
sedenion_zd_fibers_gate.sh	admitido		
sedenion_zd_quartets_gate.sh	admitido		
seed_receipt_provenance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r10_gate.sh	admitido		
self_falsifying_compilation_line_r11_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r12_gate.sh	admitido		
self_falsifying_compilation_line_r13_gate.sh	admitido		
self_falsifying_compilation_line_r14_gate.sh	admitido		
self_falsifying_compilation_line_r15_gate.sh	admitido		
self_falsifying_compilation_line_r16_gate.sh	admitido		
self_falsifying_compilation_line_r17_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r19_gate.sh	admitido		
self_falsifying_compilation_line_r1_gate.sh	admitido		
self_falsifying_compilation_line_r20_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r21_gate.sh	admitido		
self_falsifying_compilation_line_r22_gate.sh	admitido		
self_falsifying_compilation_line_r23_gate.sh	admitido		
self_falsifying_compilation_line_r24_gate.sh	admitido		
self_falsifying_compilation_line_r25_gate.sh	admitido		
self_falsifying_compilation_line_r26_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r27_gate.sh	admitido		
self_falsifying_compilation_line_r28_gate.sh	admitido		
self_falsifying_compilation_line_r29_gate.sh	admitido		
self_falsifying_compilation_line_r2_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r3_gate.sh	admitido		
self_falsifying_compilation_line_r4_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r5_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
self_falsifying_compilation_line_r6_gate.sh	admitido		
self_falsifying_compilation_line_r7_gate.sh	admitido		
self_falsifying_compilation_line_r8_gate.sh	admitido		
self_falsifying_compilation_line_r9_gate.sh	admitido		
self_falsifying_compiler_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
selfhost_driver_output_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
selfhost_host_gate.sh	admitido		
semantic_coordination_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_knowledge_spine_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_depression_orc_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_sinkhorn_lse_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_fixture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_degree_shuffle_fixture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_kaxi_pack_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_multifixture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_tile_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_tile_matrix_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_tile_matrix_parameter_sweep_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_graph_edge_tile_matrix_reducer_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_kaxi_pack_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_kaxi_runtime_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_kaxi_slurm_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_multisupport_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
semantic_orc_swow16_permutation_fixture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
serious_language_claim_closure_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
serious_language_conformance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
serious_language_spec_drift_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sigpipe_hygiene_gate.sh	admitido		
soir_v5_empty_reader_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
soir_v6_bss_layout_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
souc-native-wrapper.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
souc-seq-leansingle.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
souc_invoke_selftest.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
souc_launcher_portability_gate.sh	admitido		
souc_v2_gate.sh	admitido		
sounio_coord_agent_hook_selftest.sh	admitido		
sounio_coord_selftest.sh	admitido		
sounio_direct_driver_support_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_editor_tooling_support_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_install_support_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_package_support_gate.sh	admitido		
sounio_release_production_readiness_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_science_flex_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_stdlib_surface_support_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_validation.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
sounio_website_docs_support_gate.sh	admitido		
stdlib_evolution_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
stdlib_science_pipeline_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
stdlib_source_byte_ceiling_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_architecture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_deep_architecture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_game_theory_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_large_architecture_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_multi_agent_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_multi_agent_scale_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
suffering_aware_multi_agent_sophisticated_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
track_a_nv2_parity_inventory.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
trigintaduonion_zd_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
typekind_archaeology_c.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
typekind_archaeology_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ui_type_backlog_quality_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ui_type_deignore_audit.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ui_type_deignore_batch_plan.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
unit_types_clinical_current_source_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
unit_types_derived_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
unit_types_phase1_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
update_golden_snapshots.sh	admitido		
validate_skills_coverage.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
verify_boot4_seed.sh	admitido		
verify_compiler_pin.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
verify_lean_seed.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
verify_skip_build_compat.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
windows_pe_smoke_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
witness_based_compilation_paper_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zd_deep_dive_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zd_fiber_spectra_witness_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zd_fiber_spectra_witness_perturbed_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zd_orbit_equivalence_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zd_qec_prediction_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zero_event_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zero_event_native_compile_privacy_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zero_event_native_v2_matrix.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zero_provenance_claims_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
zero_provenance_witness_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
